,authorB,authorA,time
134,166.0,7.0,1111014057.0
135,552.0,7.0,1111014057.0
136,40.0,7.0,1111014057.0
137,586.0,7.0,1111014057.0
138,394.0,7.0,1111014057.0
139,77.0,7.0,1111014057.0
140,110.0,7.0,1111014057.0
141,207.0,7.0,1111014057.0
142,111.0,7.0,1111014057.0
143,27.0,7.0,1111014057.0
144,29.0,7.0,1111014057.0
145,606.0,7.0,1111014057.0
146,609.0,552.0,1111014057.0
147,195.0,552.0,1111014057.0
148,166.0,552.0,1111014057.0
149,7.0,552.0,1111014057.0
150,40.0,552.0,1111014057.0
151,586.0,552.0,1111014057.0
152,394.0,552.0,1111014057.0
153,77.0,552.0,1111014057.0
154,110.0,552.0,1111014057.0
155,207.0,552.0,1111014057.0
156,111.0,552.0,1111014057.0
157,27.0,552.0,1111014057.0
158,29.0,552.0,1111014057.0
159,606.0,552.0,1111014057.0
160,609.0,40.0,1111014057.0
161,195.0,40.0,1111014057.0
162,166.0,40.0,1111014057.0
163,7.0,40.0,1111014057.0
164,552.0,40.0,1111014057.0
165,586.0,40.0,1111014057.0
166,394.0,40.0,1111014057.0
167,77.0,40.0,1111014057.0
168,110.0,40.0,1111014057.0
169,207.0,40.0,1111014057.0
170,111.0,40.0,1111014057.0
171,27.0,40.0,1111014057.0
172,29.0,40.0,1111014057.0
173,606.0,40.0,1111014057.0
174,609.0,586.0,1111014057.0
175,195.0,586.0,1111014057.0
176,166.0,586.0,1111014057.0
177,7.0,586.0,1111014057.0
178,552.0,586.0,1111014057.0
179,40.0,586.0,1111014057.0
180,394.0,586.0,1111014057.0
181,77.0,586.0,1111014057.0
182,110.0,586.0,1111014057.0
183,207.0,586.0,1111014057.0
184,111.0,586.0,1111014057.0
185,27.0,586.0,1111014057.0
186,29.0,586.0,1111014057.0
187,606.0,586.0,1111014057.0
188,609.0,394.0,1111014057.0
189,195.0,394.0,1111014057.0
190,166.0,394.0,1111014057.0
191,7.0,394.0,1111014057.0
192,552.0,394.0,1111014057.0
193,40.0,394.0,1111014057.0
194,586.0,394.0,1111014057.0
195,77.0,394.0,1111014057.0
196,110.0,394.0,1111014057.0
197,207.0,394.0,1111014057.0
198,111.0,394.0,1111014057.0
199,27.0,394.0,1111014057.0
200,29.0,394.0,1111014057.0
201,606.0,394.0,1111014057.0
202,609.0,77.0,1111014057.0
203,195.0,77.0,1111014057.0
204,166.0,77.0,1111014057.0
205,7.0,77.0,1111014057.0
206,552.0,77.0,1111014057.0
207,40.0,77.0,1111014057.0
208,586.0,77.0,1111014057.0
209,394.0,77.0,1111014057.0
210,110.0,77.0,1111014057.0
211,207.0,77.0,1111014057.0
212,111.0,77.0,1111014057.0
213,27.0,77.0,1111014057.0
214,29.0,77.0,1111014057.0
215,606.0,77.0,1111014057.0
216,609.0,110.0,1111014057.0
217,195.0,110.0,1111014057.0
218,166.0,110.0,1111014057.0
219,7.0,110.0,1111014057.0
220,552.0,110.0,1111014057.0
221,40.0,110.0,1111014057.0
222,586.0,110.0,1111014057.0
223,394.0,110.0,1111014057.0
224,77.0,110.0,1111014057.0
225,207.0,110.0,1111014057.0
226,111.0,110.0,1111014057.0
227,27.0,110.0,1111014057.0
228,29.0,110.0,1111014057.0
229,606.0,110.0,1111014057.0
230,609.0,207.0,1111014057.0
231,195.0,207.0,1111014057.0
232,166.0,207.0,1111014057.0
233,7.0,207.0,1111014057.0
234,552.0,207.0,1111014057.0
235,40.0,207.0,1111014057.0
236,586.0,207.0,1111014057.0
237,394.0,207.0,1111014057.0
238,77.0,207.0,1111014057.0
239,110.0,207.0,1111014057.0
